,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand
897,Volkswagen Jetta 2007-2011 1.9 Highline TDI,Pune,6,64889,Diesel,Automatic,First,15.5,1896,105.0,5.0,11.5,Volkswagen
898,Hyundai Creta 1.6 CRDi SX,Kolkata,5,43000,Diesel,Manual,First,19.67,1582,126.2,5.0,9.25,Hyundai
899,Skoda Fabia 1.2 MPI Ambiente Petrol,Pune,9,47490,Petrol,Manual,First,17.5,1198,75.0,5.0,2.29,Skoda
900,Ford EcoSport 1.5 TDCi Titanium,Chennai,5,80000,Diesel,Manual,First,22.77,1498,98.59,5.0,7.0,Ford
901,Maruti Zen Estilo 1.1 LXI BSIII,Bangalore,13,60000,Petrol,Manual,Second,18.2,1061,64.0,5.0,1.65,Maruti
902,Maruti Ciaz 1.4 Delta,Ahmedabad,3,6006,Petrol,Manual,First,20.73,1373,91.1,5.0,8.25,Maruti
903,Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Kochi,9,71703,Petrol,Automatic,First,14.74,1991,181.03,5.0,9.14,Mercedes
904,Honda Amaze SX i-VTEC,Hyderabad,4,33000,Petrol,Manual,First,17.8,1198,86.7,5.0,6.5,Honda
905,Renault Duster 85PS Diesel RxL,Jaipur,5,91000,Diesel,Manual,First,19.87,1461,83.8,5.0,5.75,Renault
906,Maruti Wagon R LXI LPG BSIV,Hyderabad,8,72000,LPG,Manual,First,26.2,998,58.2,5.0,2.85,Maruti
907,Volkswagen Polo Petrol Highline 1.2L,Kolkata,9,43000,Petrol,Manual,Second,16.47,1198,73.9,5.0,2.1,Volkswagen
908,Hyundai Creta 1.6 SX Plus Diesel,Coimbatore,3,63770,Diesel,Manual,First,19.67,1582,126.2,5.0,13.55,Hyundai
909,Jaguar XF Diesel,Kolkata,8,43510,Diesel,Automatic,First,14.74,2993,270.9,5.0,20.5,Jaguar
910,Jeep Compass 2.0 Limited 4X4,Mumbai,3,52000,Diesel,Manual,First,16.3,1956,170.0,5.0,20.0,Jeep
911,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2,31427,Diesel,Automatic,First,15.68,1999,177.0,5.0,59.72,Land
912,Maruti Baleno Alpha Diesel,Kolkata,4,29000,Diesel,Manual,First,27.39,1248,74.0,5.0,6.5,Maruti
913,Maruti Ciaz ZDi SHVS,Ahmedabad,4,56000,Diesel,Manual,First,28.09,1248,88.5,5.0,7.5,Maruti
914,Maruti SX4 Vxi BSIII,Jaipur,13,76000,Petrol,Manual,Second,15.0,1586,104.68,5.0,2.15,Maruti
915,Hyundai Elantra CRDi SX,Coimbatore,5,53615,Diesel,Manual,First,22.7,1582,126.24,5.0,8.44,Hyundai
916,Mitsubishi Pajero Sport 4X4,Bangalore,7,132000,Diesel,Manual,First,13.5,2477,175.56,7.0,12.49,Mitsubishi
917,Volkswagen Ameo 1.2 MPI Comfortline,Pune,3,14800,Petrol,Manual,First,17.0,1198,73.75,5.0,5.48,Volkswagen
918,Maruti Ritz VXi,Hyderabad,7,35433,Petrol,Manual,First,18.5,1197,85.8,5.0,4.2,Maruti
919,Hyundai Verna CRDi SX,Hyderabad,7,82966,Diesel,Manual,First,16.8,1493,110.0,5.0,7.2,Hyundai
920,Maruti Swift Dzire Tour LDI,Jaipur,6,96000,Diesel,Manual,First,23.4,1248,74.0,5.0,4.8,Maruti
921,Mahindra KUV 100 mFALCON D75 K6,Kochi,3,39528,Diesel,Manual,First,25.32,1198,77.0,6.0,5.83,Mahindra
922,Toyota Innova Crysta 2.4 ZX MT,Coimbatore,2,92056,Diesel,Manual,First,13.68,2393,147.8,7.0,18.39,Toyota
923,Maruti Baleno Delta 1.2,Pune,4,14930,Petrol,Manual,First,21.4,1197,83.1,5.0,5.85,Maruti
924,Honda Jazz VX Diesel,Mumbai,4,38000,Diesel,Manual,First,27.3,1498,98.6,5.0,6.21,Honda
925,Hyundai i20 1.2 Asta,Delhi,7,71000,Petrol,Manual,First,17.0,1197,80.0,5.0,3.65,Hyundai
926,Hyundai i20 Sportz Diesel,Delhi,8,71000,Diesel,Manual,First,23.0,1396,90.0,5.0,3.7,Hyundai
927,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Pune,5,50000,Diesel,Automatic,First,19.27,2143,167.62,5.0,30.0,Mercedes
928,Hyundai Xcent 1.2 Kappa Base,Kochi,4,48163,Petrol,Manual,First,19.1,1197,82.0,5.0,4.85,Hyundai
929,Hyundai Grand i10 AT Asta,Coimbatore,3,19168,Petrol,Automatic,First,18.9,1197,82.0,5.0,6.93,Hyundai
930,Maruti Alto 800 VXI,Kolkata,4,26000,Petrol,Manual,First,22.74,796,47.3,5.0,2.6,Maruti
931,Chevrolet Sail Hatchback 1.2 LS,Kolkata,6,37400,Petrol,Manual,First,18.2,1199,82.5,5.0,1.89,Chevrolet
932,Mercedes-Benz C-Class Progressive C 220d,Mumbai,2,8682,Diesel,Automatic,First,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0        26.6
1       19.67
2        18.2
3       20.77
4        15.2
        ...  
5867     28.4
5868     24.4
5869     14.0
5870     18.9
5871    25.44
Name: Mileage, Length: 5872, dtype: object>",1950,194.0,5.0,39.5,Mercedes
933,Skoda Superb Elegance 1.8 TSI AT,Mumbai,8,95000,Petrol,Automatic,First,13.7,1798,157.75,5.0,10.0,Skoda
934,Audi A4 2.0 TDI,Kolkata,11,34000,Diesel,Automatic,First,16.55,1968,147.51,5.0,9.95,Audi
935,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Mumbai,6,95000,Diesel,Manual,Second,12.8,2494,102.0,8.0,9.45,Toyota
936,Mercedes-Benz CLA 200 CDI Sport,Coimbatore,3,13689,Diesel,Automatic,First,17.9,2143,136.0,5.0,28.25,Mercedes
937,Hyundai i10 Era,Jaipur,12,84000,Petrol,Manual,Second,19.81,1086,68.05,5.0,1.8,Hyundai
938,Maruti Swift Dzire VXi,Kolkata,12,47000,Petrol,Manual,Second,17.5,1298,85.8,5.0,1.4,Maruti
939,Skoda Rapid 1.5 TDI AT Ambition,Ahmedabad,5,60001,Diesel,Automatic,First,21.66,1498,103.52,5.0,7.25,Skoda
940,Maruti Ritz VDi,Hyderabad,8,96000,Diesel,Manual,First,21.1,1248,73.9,5.0,3.6,Maruti
941,Hyundai Accent GLS 1.6,Jaipur,16,47300,Petrol,Manual,Second,14.4,1599,94.0,5.0,1.2,Hyundai
942,Honda Amaze SX i-VTEC,Coimbatore,6,28246,Petrol,Manual,Second,17.8,1198,86.7,5.0,4.94,Honda
943,Maruti Wagon R LXI,Delhi,13,65000,Petrol,Manual,Second,18.9,998,67.1,5.0,1.25,Maruti
944,Volkswagen Polo Diesel Comfortline 1.2L,Chennai,7,68000,Diesel,Manual,Second,22.07,1199,73.9,5.0,4.8,Volkswagen
945,Ford Endeavour 2.2 Trend AT 4X2,Kochi,1,11209,Diesel,Automatic,First,12.62,2198,158.0,7.0,31.15,Ford
946,Hyundai i20 1.2 Sportz,Pune,9,41980,Petrol,Manual,Second,17.0,1197,80.0,5.0,3.3,Hyundai
947,Chevrolet Beat Diesel PS,Bangalore,8,65000,Diesel,Manual,First,25.44,936,57.6,5.0,2.4,Chevrolet
948,Honda Civic 2010-2013 1.8 V MT,Kolkata,10,38000,Petrol,Manual,First,14.8,1799,130.2,5.0,2.0,Honda
949,Maruti Wagon R VXI BS IV,Pune,6,51000,Petrol,Manual,First,20.51,998,67.04,5.0,3.1,Maruti
950,Skoda Rapid 1.6 MPI Ambition Plus,Kochi,6,33855,Petrol,Manual,First,15.0,1598,103.6,5.0,5.09,Skoda
951,Maruti Baleno Vxi - BSIII,Pune,14,146000,Petrol,Manual,Second,15.4,1590,94.0,5.0,1.05,Maruti
952,Ford EcoSport 1.5 TDCi Titanium,Bangalore,5,47037,Diesel,Manual,Second,22.77,1498,98.59,5.0,7.0,Ford
953,Hyundai Accent GLE,Ahmedabad,10,58000,Petrol,Manual,Second,13.2,1495,94.0,5.0,2.5,Hyundai
954,BMW 5 Series 520d Luxury Line,Mumbai,8,61240,Diesel,Automatic,First,22.48,1995,190.0,5.0,17.5,BMW
955,Maruti Alto K10 2010-2014 VXI,Chennai,9,91211,Petrol,Manual,First,20.92,998,67.1,5.0,2.1,Maruti
956,Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Bangalore,7,84000,Diesel,Automatic,First,15.73,1968,174.33,5.0,17.75,Audi
957,Maruti Wagon R LXI DUO BSIII,Mumbai,12,64226,LPG,Manual,First,17.3,1061,57.5,5.0,1.45,Maruti
958,Toyota Corolla H4,Bangalore,15,67000,Petrol,Automatic,Second,11.3,1794,125.0,5.0,2.45,Toyota
959,Volvo XC60 D5,Pune,9,106976,Diesel,Automatic,First,13.5,2400,215.0,5.0,13.8,Volvo
960,Honda Jazz 1.5 VX i DTEC,Kolkata,4,27210,Diesel,Manual,First,27.3,1498,98.6,5.0,5.85,Honda
961,Maruti Ciaz 1.3 Alpha,Delhi,3,26322,Diesel,Manual,First,28.09,1248,88.5,5.0,8.9,Maruti
962,Maruti Swift VXI BSIV,Mumbai,4,9107,Petrol,Manual,First,20.4,1197,81.8,5.0,5.15,Maruti
963,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,5,63983,Diesel,Automatic,First,19.27,2143,170.0,5.0,16.56,Mercedes
964,Maruti Wagon R VXI Minor,Chennai,10,134000,Petrol,Manual,Second,18.9,1061,67.0,5.0,1.65,Maruti
965,Mercedes-Benz A Class A180 Sport,Pune,5,11000,Petrol,Automatic,First,15.5,1595,120.7,5.0,16.0,Mercedes
966,Hyundai Santro Xing GL,Pune,12,93000,Petrol,Manual,First,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0        26.6
1       19.67
2        18.2
3       20.77
4        15.2
        ...  
5867     28.4
5868     24.4
5869     14.0
5870     18.9
5871    25.44
Name: Mileage, Length: 5872, dtype: object>",1086,62.0,5.0,1.45,Hyundai
967,Maruti Swift Dzire AMT ZDI,Coimbatore,3,24852,Diesel,Automatic,First,26.59,1248,74.0,5.0,8.08,Maruti
968,Hyundai Grand i10 AT Asta,Pune,6,37632,Petrol,Automatic,First,18.9,1197,82.0,5.0,4.5,Hyundai
969,Nissan Sunny 2011-2014 XV Special Edition,Chennai,7,55000,Petrol,Manual,Second,16.95,1498,97.7,5.0,4.3,Nissan
970,Maruti A-Star Lxi,Hyderabad,10,81448,Petrol,Manual,First,19.0,998,66.1,5.0,2.6,Maruti
971,Renault KWID RXT Optional,Hyderabad,2,1900,Petrol,Manual,First,25.17,799,53.3,5.0,4.45,Renault
972,Hyundai Verna 1.6 SX VTVT (O) AT,Coimbatore,8,54957,Petrol,Automatic,First,17.1,1591,121.4,5.0,5.37,Hyundai
973,Maruti Wagon R LXI Minor,Chennai,12,55000,Petrol,Manual,Second,18.9,1061,67.0,5.0,1.75,Maruti
974,BMW 3 Series 320d Sport Line,Kolkata,7,21983,Diesel,Automatic,First,18.88,1995,184.0,5.0,16.5,BMW
975,BMW 5 Series 2003-2012 520d,Delhi,7,76000,Diesel,Automatic,First,18.48,1995,177.0,5.0,19.0,BMW
976,Tata Indigo CS eVX,Jaipur,4,65000,Diesel,Manual,First,25.0,1396,69.01,5.0,2.8,Tata
977,Hyundai i20 Sportz 1.4 CRDi,Hyderabad,5,26000,Diesel,Manual,First,22.54,1396,88.73,5.0,6.2,Hyundai
978,Maruti Omni E MPI STD BS IV,Kochi,1,11571,Petrol,Manual,First,16.8,796,34.2,8.0,3.8,Maruti
979,Maruti Swift ZDi,Hyderabad,6,81000,Diesel,Manual,First,25.2,1248,74.0,5.0,6.1,Maruti
980,Ford Ecosport Signature Edition Diesel,Coimbatore,1,23154,Diesel,Manual,First,23.0,1498,98.96,5.0,11.65,Ford
981,Honda Brio VX AT,Mumbai,6,26856,Petrol,Automatic,First,16.5,1198,86.8,5.0,4.15,Honda
982,Toyota Innova Crysta 2.4 GX MT,Chennai,3,67489,Diesel,Manual,First,13.68,2393,147.8,7.0,16.5,Toyota
983,Mahindra Scorpio 2.6 LX,Bangalore,12,176000,Diesel,Manual,Second,10.5,2179,120.0,8.0,4.3,Mahindra
984,Hyundai i20 1.2 Magna,Kolkata,10,18000,Petrol,Manual,First,18.5,1197,80.0,5.0,2.25,Hyundai
985,Hyundai Verna 1.6 SX,Ahmedabad,6,63003,Diesel,Manual,First,22.32,1582,126.32,5.0,6.75,Hyundai
986,Mahindra XUV500 W6 2WD,Chennai,6,80000,Diesel,Manual,First,15.1,2179,140.0,7.0,9.4,Mahindra
987,Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,6,56658,Diesel,Manual,First,20.64,1498,108.5,5.0,5.39,Volkswagen
988,Maruti Swift Dzire VDI Optional,Kochi,1,18592,Diesel,Manual,First,26.59,1248,74.0,5.0,8.51,Maruti
989,Tata Manza Aura Safire BS IV,Pune,10,75695,Petrol,Manual,First,13.7,1368,88.8,5.0,1.85,Tata
990,Maruti Swift VDI,Kolkata,8,82000,Diesel,Manual,Second,22.9,1248,74.0,5.0,2.5,Maruti
991,Volkswagen Polo Diesel Highline 1.2L,Chennai,7,60000,Diesel,Manual,First,22.07,1199,73.9,5.0,4.75,Volkswagen
992,Honda City 1.5 V MT,Pune,11,138000,Petrol,Manual,Second,17.0,1497,118.0,5.0,3.5,Honda
993,Hyundai i20 Asta (o) 1.4 CRDi (Diesel),Bangalore,6,67000,Diesel,Manual,First,23.0,1396,90.0,5.0,5.5,Hyundai
994,Honda City 1.5 V MT,Coimbatore,8,42750,Petrol,Manual,First,17.0,1497,118.0,5.0,6.33,Honda
995,Chevrolet Beat Diesel,Kochi,6,52398,Diesel,Manual,First,25.44,936,57.6,5.0,2.47,Chevrolet
996,Chevrolet Spark 1.0 LS,Kochi,6,36657,Petrol,Manual,First,16.2,995,62.1,5.0,3.3,Chevrolet
997,Tata New Safari DICOR 2.2 EX 4x2,Delhi,9,77000,Diesel,Manual,Second,11.57,2179,138.1,7.0,3.5,Tata
998,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Delhi,6,85000,Diesel,Automatic,First,11.3,2987,254.8,7.0,38.75,Mercedes
999,BMW 5 Series 2003-2012 530d Highline,Pune,12,112500,Diesel,Automatic,First,11.5,2993,235.0,5.0,7.99,BMW
1000,Toyota Fortuner 2.8 4WD MT,Kochi,7,105072,Diesel,Manual,First,14.24,2755,174.5,7.0,13.28,Toyota
1001,BMW X1 sDrive 18i,Pune,8,80000,Petrol,Automatic,First,11.25,1995,150.0,5.0,9.5,BMW
1002,Renault Captur 1.5 Diesel Platine Mono,Kochi,1,3102,Diesel,Manual,First,20.37,1461,108.45,5.0,14.01,Renault
1003,Hyundai Xcent 1.1 CRDi S,Coimbatore,4,14656,Diesel,Manual,First,24.4,1120,71.0,5.0,6.99,Hyundai
1004,BMW 3 Series 320d,Hyderabad,10,105000,Diesel,Automatic,Second,13.2,1995,170.0,5.0,11.0,BMW
1005,BMW 5 Series 2010-2013 525i,Hyderabad,12,61000,Petrol,Automatic,Second,10.8,2497,215.0,5.0,11.0,BMW
1006,Nissan Micra XE,Pune,10,85046,Petrol,Manual,Second,18.06,1198,75.0,5.0,2.3,Nissan
1007,Jaguar XF 2.2 Litre Luxury,Delhi,6,48000,Diesel,Automatic,First,16.36,2179,187.7,5.0,26.5,Jaguar
1008,Land Rover Range Rover TDV8 (Diesel),Bangalore,9,55000,Diesel,Automatic,First,10.2,4367,308.0,7.0,67.0,Land
1009,Jeep Compass 1.4 Limited Option,Mumbai,3,4000,Petrol,Automatic,First,16.0,1368,160.0,5.0,17.75,Jeep
1010,Honda CR-V 2.4 AT,Delhi,10,94000,Petrol,Automatic,Second,10.1,2354,152.0,5.0,4.8,Honda
1011,Maruti Swift VXI,Coimbatore,7,61110,Petrol,Manual,First,18.6,1197,85.8,5.0,4.57,Maruti
1012,Hyundai Xcent 1.1 CRDi S,Chennai,4,80000,Diesel,Manual,First,24.4,1120,71.0,5.0,3.5,Hyundai
1013,Nissan Terrano XV Premium 110 PS,Kochi,5,43190,Diesel,Manual,First,19.01,1461,108.5,5.0,7.61,Nissan
1014,Audi A4 35 TDI Technology,Hyderabad,5,45000,Diesel,Automatic,First,18.25,1968,187.74,5.0,25.0,Audi
1015,Hyundai Grand i10 Asta Option,Coimbatore,4,44178,Petrol,Manual,First,18.9,1197,82.0,5.0,5.88,Hyundai
1016,Toyota Innova 2.5 G (Diesel) 8 Seater,Hyderabad,5,84415,Diesel,Manual,First,12.99,2494,100.6,8.0,13.5,Toyota
1017,Hyundai i20 1.2 Magna,Kolkata,5,35000,Petrol,Manual,First,18.5,1197,80.0,5.0,4.6,Hyundai
1018,Ford EcoSport 1.5 TDCi Titanium,Kolkata,7,44000,Diesel,Manual,First,22.77,1498,98.59,5.0,4.9,Ford
1019,Honda City 1.5 S MT,Hyderabad,8,67635,Petrol,Manual,First,17.0,1497,118.0,5.0,5.25,Honda
1020,Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2,18385,Petrol,Automatic,First,14.8,1497,121.36,5.0,12.41,Ford
1021,Volkswagen Polo Diesel Highline 1.2L,Kolkata,6,35000,Diesel,Manual,First,22.07,1199,73.9,5.0,3.8,Volkswagen
1022,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Mumbai,10,49000,Diesel,Automatic,First,19.27,2143,170.0,5.0,8.95,Mercedes
1023,Ford Ecosport 1.5 DV5 MT Titanium,Hyderabad,7,69000,Diesel,Manual,First,22.7,1498,89.84,5.0,7.2,Ford
1024,Tata Indigo GLE,Hyderabad,3,23228,Petrol,Manual,First,14.4,1396,65.0,5.0,4.5,Tata
1025,Maruti Swift Dzire LDI,Delhi,6,68462,Diesel,Manual,First,26.59,1248,74.0,5.0,4.15,Maruti
1026,Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,4,74611,Diesel,Manual,First,25.1,1248,88.5,5.0,7.94,Maruti
1027,Renault Duster 110PS Diesel RxZ Pack,Pune,6,90000,Diesel,Manual,First,19.01,1461,108.45,5.0,7.25,Renault
1028,Maruti Wagon R VXI,Delhi,4,22000,Petrol,Manual,First,18.9,998,67.1,5.0,3.7,Maruti
1029,Hyundai Santro Xing GL,Hyderabad,10,58163,Petrol,Manual,First,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0        26.6
1       19.67
2        18.2
3       20.77
4        15.2
        ...  
5867     28.4
5868     24.4
5869     14.0
5870     18.9
5871    25.44
Name: Mileage, Length: 5872, dtype: object>",1086,62.0,5.0,2.45,Hyundai
1030,Chevrolet Beat Diesel LT,Chennai,9,109500,Diesel,Manual,Third,25.44,936,57.6,5.0,1.5,Chevrolet
1031,Mahindra XUV500 W4 1.99 mHawk,Delhi,3,13363,Diesel,Manual,First,16.0,1997,140.0,7.0,12.0,Mahindra
1032,Hyundai i10 Era 1.1,Delhi,8,51000,Petrol,Manual,Second,19.81,1086,68.05,5.0,2.2,Hyundai
1033,Tata New Safari DICOR 2.2 EX 4x4,Hyderabad,13,103000,Diesel,Manual,First,13.93,2179,138.0,7.0,3.6,Tata
1034,Hyundai i10 Sportz,Kolkata,11,43002,Petrol,Manual,First,20.36,1197,78.9,5.0,1.92,Hyundai
1035,Toyota Innova Crysta 2.8 ZX AT,Bangalore,4,108000,Diesel,Automatic,First,11.36,2755,171.5,7.0,20.5,Toyota
1036,Skoda Laura Elegance MT,Jaipur,10,82407,Diesel,Manual,First,17.5,1896,106.0,5.0,4.25,Skoda
1037,Hyundai Grand i10 Sportz,Kolkata,7,29000,Petrol,Manual,First,18.9,1197,82.0,5.0,3.2,Hyundai
1038,Maruti Swift Dzire VDI,Kolkata,6,45000,Diesel,Manual,First,23.4,1248,74.0,5.0,3.85,Maruti
1039,Hyundai i20 Asta 1.4 CRDi (Diesel),Kochi,10,93401,Diesel,Manual,First,23.0,1396,90.0,5.0,3.48,Hyundai
1040,Ford Figo 2015-2019 1.5D Trend MT,Hyderabad,3,95802,Diesel,Manual,Second,25.83,1498,99.0,5.0,4.55,Ford
1041,Maruti Ertiga VDI,Pune,4,130000,Diesel,Manual,First,25.47,1248,88.5,7.0,7.0,Maruti
1042,Maruti Ertiga ZDI,Ahmedabad,7,67443,Diesel,Manual,First,20.77,1248,88.8,7.0,5.75,Maruti
1043,Honda City 1.5 V AT Sunroof,Kochi,4,47681,Petrol,Automatic,First,16.8,1497,116.3,5.0,8.73,Honda
1044,Maruti Alto LXi BSIII,Hyderabad,11,35000,Petrol,Manual,First,19.7,796,46.3,5.0,1.7,Maruti
1045,Ford Endeavour 3.2 Titanium AT 4X4,Hyderabad,4,68000,Diesel,Automatic,First,10.91,3198,197.0,7.0,29.5,Ford
1046,Maruti Vitara Brezza ZDi Plus,Kochi,1,34688,Diesel,Manual,First,24.3,1248,88.5,5.0,10.49,Maruti
1047,Porsche Boxster S tiptronic,Kolkata,5,10512,Petrol,Automatic,First,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0        26.6
1       19.67
2        18.2
3       20.77
4        15.2
        ...  
5867     28.4
5868     24.4
5869     14.0
5870     18.9
5871    25.44
Name: Mileage, Length: 5872, dtype: object>",2706,265.0,2.0,64.0,Porsche
1048,Maruti Swift ZDi,Pune,4,58000,Diesel,Manual,First,22.9,1248,74.0,5.0,7.55,Maruti
1049,Tata Zest Revotron 1.2 XT,Mumbai,6,40000,Petrol,Manual,First,17.57,1193,88.7,5.0,3.95,Tata
1050,Hyundai i20 1.2 Sportz Option,Bangalore,10,61000,Petrol,Manual,Fourth & Above,17.0,1197,80.0,5.0,3.25,Hyundai
1051,Skoda Fabia 1.4 TDI Active,Mumbai,11,86000,Diesel,Manual,First,19.4,1422,70.0,5.0,2.75,Skoda
1052,Toyota Corolla Altis D-4D J,Kolkata,5,45000,Diesel,Manual,First,21.43,1364,87.2,5.0,7.35,Toyota
1053,Volkswagen Ameo 1.2 MPI Comfortline,Ahmedabad,3,55000,Petrol,Manual,First,17.0,1198,73.75,5.0,4.7,Volkswagen
1054,Hyundai Creta 1.6 VTVT S,Kochi,4,36855,Petrol,Manual,Second,15.29,1591,121.3,5.0,8.77,Hyundai
1055,Hyundai i10 Magna 1.2,Kochi,7,46821,Petrol,Manual,First,20.36,1197,78.9,5.0,3.42,Hyundai
1056,Chevrolet Beat LS,Kolkata,5,120000,Petrol,Manual,First,18.6,1199,76.8,5.0,2.5,Chevrolet
1057,Jaguar XF 3.0 Litre S Premium Luxury,Kolkata,8,29000,Diesel,Automatic,First,14.74,2993,270.9,5.0,20.0,Jaguar
1058,Nissan Terrano XL,Mumbai,6,40000,Petrol,Manual,First,13.24,1598,102.5,5.0,5.25,Nissan
1059,Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Delhi,7,60000,Diesel,Automatic,Second,15.73,1968,174.33,5.0,14.5,Audi
1060,Hyundai i10 Asta AT,Mumbai,9,64984,Petrol,Automatic,First,16.95,1197,78.9,5.0,3.45,Hyundai
1061,Maruti Alto K10 VXI AGS,Pune,5,73204,Petrol,Automatic,First,24.07,998,67.1,5.0,3.3,Maruti
1062,Audi Q7 4.2 TDI Quattro Technology,Bangalore,6,50000,Diesel,Automatic,First,11.33,4134,335.2,7.0,51.0,Audi
1063,Maruti Vitara Brezza VDi,Kolkata,3,35000,Diesel,Manual,First,24.3,1248,88.5,5.0,6.5,Maruti
1064,Hyundai EON D Lite Plus,Hyderabad,7,17729,Petrol,Manual,First,21.1,814,55.2,5.0,3.65,Hyundai
1065,Mahindra XUV300 W8 Diesel,Chennai,8,97000,Diesel,Manual,First,20.0,1497,115.0,5.0,7.25,Mahindra
1066,Hyundai Verna CRDi 1.6 SX Option,Kochi,6,89614,Diesel,Manual,First,22.0,1582,126.2,5.0,6.01,Hyundai
1067,Maruti Wagon R VXI,Kolkata,5,14000,Petrol,Manual,First,18.9,998,67.1,5.0,2.8,Maruti
1068,Hyundai i20 Sportz Option,Chennai,8,50000,Petrol,Manual,First,17.0,1197,80.0,5.0,4.0,Hyundai
1069,Honda City i VTEC V,Delhi,6,62505,Petrol,Manual,First,17.4,1497,117.3,5.0,5.95,Honda
1070,Toyota Innova 2.5 V Diesel 7-seater,Chennai,9,248000,Diesel,Manual,Second,12.8,2494,102.0,7.0,9.2,Toyota
1071,Hyundai Verna CRDi SX,Pune,8,94900,Diesel,Manual,First,16.8,1493,110.0,5.0,5.35,Hyundai
1072,Tata Hexa XT,Delhi,3,55000,Diesel,Manual,First,17.6,2179,153.86,7.0,12.0,Tata
1073,Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,5,53735,Diesel,Automatic,Second,12.07,2967,241.4,7.0,38.94,Audi
1074,Maruti Wagon R VXI,Coimbatore,12,53934,Petrol,Manual,Second,18.9,998,67.1,5.0,2.69,Maruti
1075,BMW 5 Series 2013-2017 525d Luxury Line,Bangalore,7,58500,Diesel,Automatic,Second,17.09,1995,218.0,5.0,27.5,BMW
1076,Honda Amaze EX i-Vtech,Kolkata,6,48000,Petrol,Manual,First,18.0,1198,86.7,5.0,2.75,Honda
1077,Maruti Alto 800 2016-2019 LXI,Mumbai,4,24000,Petrol,Manual,First,24.7,796,47.3,5.0,2.8,Maruti
1078,Hyundai Verna 1.6 SX VTVT,Mumbai,4,52001,Petrol,Manual,First,17.01,1591,121.3,5.0,6.45,Hyundai
1079,Tata Tiago 1.2 Revotron XZ,Coimbatore,2,9565,Petrol,Manual,First,23.84,1199,84.0,5.0,5.88,Tata
1080,Maruti Swift LXI,Pune,7,32953,Petrol,Manual,First,18.6,1197,85.8,5.0,4.65,Maruti
1081,Hyundai EON Era,Jaipur,6,18000,Petrol,Manual,First,21.1,814,55.2,5.0,2.5,Hyundai
1082,Mercedes-Benz E-Class E 220 d,Kochi,2,20446,Petrol,Automatic,First,12.6,1950,191.34,5.0,51.35,Mercedes
1083,Hyundai i20 Magna 1.4 CRDi,Hyderabad,4,33016,Diesel,Manual,First,22.54,1396,88.73,5.0,6.85,Hyundai
1084,Toyota Etios VD,Chennai,8,48000,Diesel,Manual,First,23.59,1364,67.05,5.0,5.25,Toyota
1085,Toyota Corolla Altis Diesel D4DG,Coimbatore,6,72022,Diesel,Manual,First,21.43,1364,87.2,5.0,9.23,Toyota
1086,Mini Cooper 5 DOOR D,Ahmedabad,6,34000,Diesel,Automatic,First,20.7,1496,113.98,5.0,22.0,Mini
1087,Volkswagen Polo 1.5 TDI Highline,Hyderabad,6,69000,Diesel,Manual,First,20.14,1498,88.8,5.0,5.19,Volkswagen
1088,Skoda Superb Elegance 1.8 TSI AT,Pune,11,108000,Petrol,Automatic,First,13.7,1798,157.75,5.0,4.35,Skoda
1089,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Hyderabad,7,34700,Diesel,Automatic,First,10.0,2148,170.0,5.0,24.5,Mercedes
1090,Maruti Swift VDi BSIII W/ ABS,Pune,5,79000,Diesel,Manual,First,17.8,1248,75.0,5.0,5.75,Maruti
1091,Honda City i VTEC CVT VX,Kochi,4,58197,Petrol,Automatic,First,18.0,1497,117.3,5.0,9.19,Honda
1092,BMW 7 Series 2007-2012 740Li,Pune,12,66000,Petrol,Automatic,Second,8.45,2979,321.0,5.0,10.75,BMW
1093,Hyundai i10 Magna AT,Bangalore,11,60000,Petrol,Automatic,First,19.2,1197,80.0,5.0,2.99,Hyundai
1094,Maruti Swift Dzire VDI,Kolkata,6,57000,Diesel,Manual,First,26.59,1248,74.0,5.0,3.89,Maruti
1095,Honda City i DTec VX,Coimbatore,2,45555,Diesel,Manual,First,26.0,1498,98.6,5.0,11.73,Honda
1096,Maruti Omni 8 Seater BSIV,Coimbatore,4,55137,Petrol,Manual,First,14.0,796,35.0,5.0,3.11,Maruti
